feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,label,is_test
1.293475053,0.5513798457,-0.5046711512,-0.7901687993,0.1072950572,-0.4818934383,1.225380373,0.6563186877,4.046315751,2.180862621,0,0
2.08164027,2.39645088,-1.093320196,-1.063751639,0.1068498021,-0.2823514734,0.9431517626,1.496671091,-0.909664971,-1.06093961,0,0
-1.274826696,-0.4197199364,0.6640950352,0.7977736137,-0.4891491676,-2.180455689,-0.8658412229,-1.628160954,0.6419785129,-0.4346441682,0,0
-0.5658933184,-0.1576843399,-0.5573339448,-0.3385068537,0.4200135064,-0.8739084279,0.214301359,0.842310765,1.035714176,1.484135532,0,0
-0.0990133105,-2.143429474,0.04170950424,0.389121615,0.3020777981,0.5387502036,-0.3788440053,0.1981341625,0.7738973821,0.4838346748,0,0
-1.124638844,-1.08859193,-0.3368817371,-0.8076392351,0.3276598254,0.5982585931,0.1791694176,-0.2899923738,0.1314930008,0.06249603621,0,0
-1.138898949,-0.4001865733,0.1917271918,-0.0103426404,-0.2438260331,0.2209067834,-1.594727842,-0.6470146106,3.288938117,2.837095847,0,0
-0.2936580896,0.6044907689,-0.08565658152,-0.923516643,0.9015990947,0.649954008,-0.1753311897,-0.3951588239,-1.119841713,-0.6521471255,0,0
-0.03257724846,0.2308309543,-1.505625047,-1.402247636,-0.7327806006,0.7341623757,-0.1642370685,-0.4372517922,-0.01238572894,0.2060785305,0,0
1.912138027,1.342522985,-0.2412392686,-0.3026452642,0.0113939045,0.5775170278,1.190782043,1.45310105,-0.2687778628,0.1250202064,0,0
1.917277929,1.86755033,-4.550075808,-2.246469996,-0.5804671766,-0.1749112867,-0.3045664132,0.4484434961,-0.2482852975,0.01027793321,0,0
0.7418390497,0.6704531992,-0.1324301534,-0.5789145343,-0.08922047952,-1.06644127,1.361495424,2.151875657,-0.1965890515,-2.230976947,0,0
1.270847863,0.9883238327,0.3315742562,-0.06807997645,1.055367013,1.608695392,-0.7582935504,-0.2476732396,1.047405084,0.2582393983,0,0
0.01310384049,1.57021027,-0.533258016,-0.1056478706,1.323040516,2.0946386,-0.2017478823,-0.2499008312,0.3727155929,-0.8403838724,0,0
1.226176577,0.8159828408,-0.9356085102,-0.6760577565,-0.3159656867,-0.07901320918,0.1143793269,-2.165800321,-0.1296316427,0.01342060096,0,0
0.1405272058,-0.09427990471,0.2053251357,0.6117013363,0.1875590182,1.340343217,-1.358810653,-1.086293584,0.4767671284,0.174976457,0,0
-0.9644227603,-0.5536546827,1.563006433,2.007198328,0.9325450322,0.4299230373,1.36712549,1.186829902,1.034996681,0.1273043946,0,0
0.4543084609,0.5424695499,0.8578158986,0.3355010663,0.8014882333,0.3121113816,0.2967017266,-0.2425457148,-0.1435154053,-0.4335312155,0,0
0.2347012598,0.07825804515,0.4881362711,0.4325612869,-1.050759597,-2.347233782,0.8192772073,0.6672952694,-0.1541776806,0.439495271,0,0
-1.02749153,-1.040083092,1.117306346,-0.7393672094,0.2360919206,-0.492506081,0.08514298772,-0.5948539711,-0.9536933459,-0.8644895466,0,0
1.357628179,0.9423648813,-1.667591423,-1.140447798,0.5024624337,0.5423801024,0.08012487101,-0.03870157088,-0.06004136986,-0.02685066828,0,0
0.1830432022,1.013096631,0.8477739287,0.2284808485,0.2591956639,0.3762848809,0.3798867025,0.1166993751,-1.471428704,-1.69792581,0,0
0.4136361251,0.1251851717,0.3347397051,-0.2189133056,-0.05183625532,0.3016875989,-2.757463137,-1.516323182,-1.072549512,-0.7387889008,0,0
-1.568510976,-1.083053328,0.906128674,1.037958986,-0.1095055611,-0.590098735,-0.5646085925,0.08631109516,-1.494714626,-0.2867812852,0,0
-0.03734573342,-0.4026943143,-0.1682392883,-1.600935627,-1.168472707,-1.57077062,-0.02616509391,-0.06090137271,0.2534980421,-0.9770971567,0,0
-0.2002871171,0.2352927366,-0.3587103847,-0.7153189458,-1.149699783,-1.281836625,-0.2212922586,-0.7503774017,-2.019207577,-1.722999529,0,0
-0.8890150825,-1.121124682,-0.1652241534,-0.7258083411,0.6299171024,0.3083150813,0.08775921695,0.1630718949,1.057987918,2.139722878,0,0
-1.127594025,-0.9847236876,-0.7590486778,-1.716785217,-0.09293209954,-0.1619809199,-1.096285802,-0.2153577587,0.8276935644,0.548176566,0,0
0.2708812455,0.813436695,-0.202293372,0.8662354178,-0.4589629164,-1.237325718,-0.8825199486,-1.240096563,0.4768799292,1.639385291,0,0
0.690046796,2.115611307,0.3427543979,0.2105324775,-0.5597116045,-1.087985138,-0.4967089537,-2.207848605,-0.5202820361,-0.254318147,0,0
-0.6632339365,-1.284217895,0.8645448887,0.474358148,0.3301481137,0.5802189647,0.7216811543,0.4418518579,1.058648556,2.504279194,0,0
1.347355239,0.9515141303,-0.9131601001,-1.269162952,-0.01695623078,0.395899672,0.2971918697,0.4034515236,0.1869152397,-0.8159574096,0,0
-0.8176872237,-1.371768103,-0.1893500418,0.1848851386,1.116277662,0.9743305695,0.2804083505,0.115812717,0.61494694,0.7153462156,0,0
-0.7445823533,-1.138602327,-0.7759768235,-0.4130976482,-0.3736713141,-0.5692230702,-0.9421210315,-1.654814912,1.423099529,0.8830602514,0,0
